Neighbourhood,Neighbourhood Id,Total Population,Visible Minority Category,   Not a Visible Minority,Total Area,   In Labour Force,Recent Immigrants,   Unemployed,   Not in Labour Force,Less than grade 9,With Bachelor Degree or Higher,With College Certificate/Diploma,Total by Tenure,Tenant Average Rent,Average Family Income,After-Tax Household Income,Pre-Tax Household Income,Part-Time Employment,Low Income Families,Lone Parent Families,Low Income Population,Early Development Instrument (EDI),Seniors Living Alone,Hospital Readmissions,Healthy Food Index,Rent Bank Applicants,Social Housing Units,Social Housing RGI,PFR Program Free Registrations,PFR Program Registrations,Drug Arrests,Assaults,Sexual Assaults,Break & Enters,Robberies,Vehicle Thefts,Thefts,Murders,Arsons,Fires & Fire Alarms
West Humber-Clairville,1,33312,0.987331892,0.178314121,0.000903278,0.535692843,0.073246878,0.051182757,0.300042027,0.18521854,0.18521854,0.403007925,0.304094621,945,72820,59703,66241,0.39940562,0.113772815,0.052233429,0.227845821,15.33923304,0.004803074,0.99,23.82,21,0.028518252,0.012337896,0,0.139739433,0.000870557,0.007774976,0.000930596,0.003932517,0.002461575,0.009486071,0.00114073,9.00576E-05,6.00384E-05,0.021884006
Mount Olive-Silverstone-Jamestown,2,32954,0.996237179,0.132760818,0.000139589,0.448048795,0.143229957,0.054166414,0.333039995,0.208017236,0.135036718,0.305425745,0.29161862,921,57411,46986,49934,0.028676337,0.152030103,0.065242459,0.350185107,19.53488372,0.005917339,0.81,37.57,44,0.039084785,0.035837835,0.175729805,0.183832008,0.000728288,0.006463555,0.000485525,0.001031741,0.002457972,0.001274504,9.1036E-05,3.03453E-05,3.03453E-05,0.010833283
Thistletown-Beaumond Heights,3,10360,0.977316602,0.348938224,0.000328185,0.488416988,0.069498069,0.050675676,0.321911197,0.19015444,0.163127413,0.384169884,0.311293436,887,70838,57522,62042,0.050868726,0.104247104,0.054054054,0.226833977,16.03773585,0.010135135,0.97,42.26,7,0.035907336,0.017374517,0.00492278,0.292084942,0.000675676,0.003378378,0.000289575,0.002220077,0.001158301,0.001254826,9.65251E-05,0,0,0.008011583
Rexdale-Kipling,4,10529,0.983949093,0.473929148,0.000237439,0.520467281,0.059359863,0.056985469,0.307721531,0.198974262,0.153860766,0.387976066,0.374679457,857,69367,51194,56545,0.048912527,0.105423117,0.063633773,0.206097445,7.894736842,0.010922215,0.95,23.31,18,0.029252541,0.028397759,0,0.003229177,0.001044734,0.00541362,0.000474879,0.001519612,0.001424637,0.002089467,0,0,9.49758E-05,0.007977966
Elms-Old Rexdale,5,9456,0.998836717,0.326247885,0.000306684,0.490164975,0.056049069,0.049175127,0.317787648,0.214149746,0.119500846,0.333650592,0.341053299,966,61196,49425,50846,0.041455161,0.125846024,0.083544839,0.295050761,9.782608696,0.006345178,0.95,24.71,12,0.03785956,0.03785956,0.223773266,0.539445854,0.000951777,0.005604907,0.000211506,0.000951777,0.001480541,0.001692047,0,0,0,0.009412014
Kingsview Village-The Westway,6,22000,0.999090909,0.401590909,0.000231818,0.466590909,0.083181818,0.046363636,0.339772727,0.199772727,0.169090909,0.367045455,0.347954545,1052,68145,50714,55454,0.034,0.127272727,0.071818182,0.307272727,15.63786008,0.009545455,0.99,35.69,19,0.025136364,0.018227273,0.108681818,0,0.000545455,0.005,0.000272727,0.001545455,0.001,0.001909091,0.000227273,9.09091E-05,9.09091E-05,0.011681818
Willowridge-Martingrove-Richview,7,22156,0.999729193,0.598934826,0.00024824,0.490612024,0.054612746,0.041523741,0.348212674,0.169705723,0.237633147,0.448411266,0.367620509,1124,79241,57048,63701,0.027486911,0.072666546,0.049196606,0.157519408,14.68926554,0.01444304,0.83,30.46,18,0.03439249,0.02306373,0,0.257537462,0.000270807,0.003971836,0.000270807,0.001444304,0.001715111,0.002166456,0.000180538,0,0,0.012276584
Humber Heights-Westmount,8,10948,0.923913043,0.672725612,0.000255754,0.467208623,0.031512605,0.034709536,0.32334673,0.147972232,0.213737669,0.438892948,0.358969675,1041,81267,54919,60410,0.028772379,0.074899525,0.057544757,0.162586774,9.722222222,0.01963829,1.09,32.82,4,0.062842528,0.035622945,0,0.017263427,0.000274023,0.002283522,0,0.002192181,0.000730727,0.001552795,0.000365364,9.13409E-05,0.000182682,0.010412861
Edenbridge-Humber Valley,9,15535,0.977792082,0.771161893,0.000354039,0.542001931,0.033150949,0.032829096,0.299324107,0.111039588,0.334084326,0.526231091,0.38751207,1127,119581,62463,71646,0.03482459,0.057933698,0.040553589,0.106855488,7.01754386,0.012874155,0.9,46.41,7,0,0,0,0.139040875,0.000193112,0.00167364,0.000386225,0.002961056,0.000193112,0.001866752,6.43708E-05,0,0,0.006179594
Princess-Rosethorn,10,11051,0.999457063,0.809429011,0.000470546,0.531626097,0.024432178,0.03212379,0.307212017,0.09818116,0.405393177,0.571441499,0.351551896,1194,144943,93391,114844,0.038458058,0.041625192,0.028956656,0.085965071,4.651162791,0.007239164,0.81,39.52,1,0,0,0,0.223961632,0.000361958,0.002262239,0.000542937,0.002986155,0.001809791,0.002171749,0.000271469,9.04895E-05,0,0.00796308
Eringate-Centennial-West Deane,11,18588,0.996610717,0.72062621,0.000462664,0.543630299,0.018829352,0.040348612,0.311760275,0.142296105,0.264417904,0.4970949,0.37120723,1108,88741,69740,80894,0.03835808,0.057026038,0.047880353,0.114590058,10.95890411,0.008607704,0.63,10.43,6,0,0,0.000376587,0.415644502,0.000376587,0.002797504,0.000268991,0.001506348,0.000806972,0.001560146,0.000268991,0,5.37981E-05,0.006509576
Markland Wood,12,10554,0.99061967,0.858442297,0.000274777,0.515918135,0.027951488,0.03174152,0.347261702,0.096172067,0.333996589,0.548607163,0.413587265,1112,100337,64297,74376,0.056281978,0.048322911,0.037900322,0.093803297,8.108108108,0.020845177,0.89,7.99,4,0,0,0.024635209,0.268050028,0.000189502,0.002179269,9.47508E-05,0.001705514,0.000758006,0.00123176,0.000189502,0,0,0.009001327
Etobicoke West Mall,13,11848,0.967673869,0.586596894,0.000143484,0.541863606,0.068787981,0.042623228,0.283170155,0.142218096,0.228308575,0.449442944,0.341407833,1078,67704,50570,56010,0.055790007,0.082714382,0.050641458,0.17049291,19.04761905,0.009284267,0.7,15.41,11,0.016880486,0.016711681,0.014095206,0.035111411,0,0.003376097,0.000253207,0.001097232,0.000253207,0.001266036,0,8.44024E-05,8.44024E-05,0.008524646
Islington-City Centre West,14,43965,0.983168429,0.618560218,0.000373024,0.583759809,0.064824292,0.042533834,0.266689412,0.092801092,0.344251109,0.558057546,0.369612192,1072,87747,57658,66537,0.306175367,0.139656545,0.041851473,0.263618788,14.24242424,0.012168771,0.95,31.01,12,0.028204253,0.026794041,0.026794041,0.068145115,0.000682361,0.004230638,0.000614125,0.002365518,0.000750597,0.003047879,0.000841579,0,9.09815E-05,0.015034687
Kingsway South,15,9271,0.988566498,0.869377629,0.000280444,0.516664869,0.010247007,0.038830763,0.302556359,0.071729048,0.478912739,0.618595621,0.378060619,1640,191204,106386,131047,0.108726135,0.02804444,0.024808543,0.050695718,4.819277108,0.009707691,1.18,43.15,0,0,0,0.006148204,1.025887175,0.001078632,0.002588718,0.000215726,0.002912307,0.000862906,0.000970769,0.000107863,0,0.000107863,0.012727861
Stonegate-Queensway,16,25051,0.993972297,0.810746078,0.000315357,0.56125504,0.040118159,0.037323859,0.271047064,0.109776057,0.338908626,0.541096164,0.416151052,996,100867,67549,78238,0.076164624,0.069458305,0.040317752,0.122949184,7.547169811,0.010778013,0.63,31.23,11,0.005149495,0.003193485,0.007903876,0.444213804,0.000439104,0.002634625,0.000119756,0.001995928,0.000479023,0.000479023,0.000199593,0,3.99186E-05,0.00834298
Mimico,17,33964,0.980744318,0.674684961,0.000203156,0.623012602,0.055794371,0.038423036,0.25571193,0.098486633,0.339182664,0.584589565,0.402779413,1009,87901,55300,64589,0.05258509,0.080084796,0.038275821,0.129254505,13.84615385,0.017812978,1.01,21.59,26,0.025880344,0.02293605,0.036450359,0.096337298,0.000706631,0.006065246,0.00050053,0.001383818,0.000235544,0.000971617,0.000412201,2.94429E-05,2.94429E-05,0.011011659
New Toronto,18,11463,0.984907965,0.669545494,0.00030533,0.563552299,0.043618599,0.049289017,0.280903777,0.151792724,0.243391782,0.485475007,0.451016313,777,70398,40859,44141,0.160167495,0.124749193,0.054087063,0.210241647,10.41666667,0.01744744,1.19,24.84,24,0.08810957,0.06568961,0.016313356,0.449446044,0.001395795,0.00715345,0.001134084,0.003576725,0.001308558,0.000959609,0.000523423,8.72372E-05,0,0.013957952
Long Branch,19,10084,0.998611662,0.769535898,0.000228084,0.610868703,0.037187624,0.043633479,0.254363348,0.144287981,0.256346688,0.501785006,0.447738992,922,77549,47680,52771,0.035402618,0.093216977,0.050575169,0.150733836,9.210526316,0.013387545,1.04,28.08,11,0.010511702,0.007239191,0.002082507,0.187623959,0.000396668,0.004760016,0.000198334,0.002776676,0.000595002,0.001388338,0,0,0,0.00793336
Alderwood,20,12054,0.99759416,0.791023727,0.0004148,0.566202091,0.016592003,0.034428406,0.285382446,0.18997843,0.18997843,0.43968807,0.387008462,984,83584,61402,71585,0.078894973,0.053094408,0.047287208,0.090426414,12.61261261,0.014103202,0.86,11.41,4,0.006387921,0.003235441,0.015347602,0.346689895,0.00033184,0.00257176,8.296E-05,0.00215696,0.00066368,0.00149328,0.00066368,0,8.296E-05,0.008793761
Humber Summit,21,12416,0.999114046,0.343508376,0.000636276,0.46351482,0.070070876,0.044700387,0.362838273,0.301626933,0.116784794,0.303640464,0.305251289,907,65757,53272,57786,0.172438789,0.126449742,0.056378866,0.26820232,9.77443609,0.00523518,1.09,32.33,11,0.010711985,0.009181701,0,0.140383376,0.000966495,0.007329253,0.00064433,0.003141108,0.001530284,0.004913015,0.001449742,0,0.000241624,0.014175258
Humbermede,22,15545,0.999356706,0.229334191,0.000283049,0.491476359,0.100032165,0.050176906,0.318430363,0.223544548,0.125763911,0.329044709,0.329044709,966,59697,48655,51959,0.040141525,0.119652621,0.068189128,0.259247346,15.07537688,0.002894821,0.95,20.52,12,0.014345449,0.010292699,0.026954005,0.190286266,0.001222258,0.00604696,0.000578964,0.001479575,0.001415246,0.002830492,6.43294E-05,6.43294E-05,0,0.009006111
Pelmo Park-Humberlea,23,10722,0.999813468,0.562861406,0.000391718,0.547472486,0.034042156,0.033109494,0.289125163,0.171143443,0.14875956,0.38518933,0.277466891,1019,76800,59842,67412,0.077690729,0.066218989,0.049431076,0.13337064,14,0.00512964,1.18,21.71,4,0.033482559,0.006435367,0,0.030498041,0.002984518,0.004663309,0.000279799,0.002238388,0.000932662,0.002238388,0.000373065,9.32662E-05,0,0.010445812
Black Creek,24,21737,0.992087225,0.189768597,0.000156415,0.427841929,0.09407922,0.05428532,0.352164512,0.259235405,0.071997056,0.246354143,0.333532686,846,52499,39986,41878,0.034917422,0.169296591,0.100749873,0.365275797,19.25675676,0.010120992,1.03,41.84,24,0.071951051,0.070892948,0.147122418,0.005520541,0.001288126,0.009108893,0.000828081,0.001242122,0.001288126,0.002438239,0.000230023,4.60045E-05,0,0.010166996
Glenfield-Jane Heights,25,30491,0.990784166,0.231707717,0.000170542,0.440785806,0.061493555,0.050834673,0.360270244,0.304844052,0.069200748,0.251057689,0.327965629,818,56582,44488,46475,0.056213309,0.144960808,0.095765964,0.31517497,20.80200501,0.010002952,1.08,41.05,13,0.049555607,0.047620609,0.130464727,0.1001935,0.001803811,0.008100751,0.000787118,0.000918304,0.001934997,0.002066183,0.000360762,3.27966E-05,0.000163983,0.011839559
Downsview-Roding-CFB,26,35052,0.99880178,0.426366541,0.000425083,0.514806573,0.089723839,0.04051124,0.319810567,0.25833048,0.127952756,0.351049869,0.37843775,905,61994,44087,47173,0.12364487,0.115827913,0.068184412,0.22110008,15.53672316,0.011839553,1.07,23.72,40,0.016290083,0.014121876,0.057400434,0.115371448,0.001540568,0.008872532,0.000741755,0.001512039,0.001397923,0.002510556,0.00028529,2.8529E-05,0.000171174,0.015063334
York University Heights,27,27593,0.999166455,0.305512268,0.000478382,0.536911536,0.103287066,0.057442105,0.315478563,0.198963505,0.201319175,0.413873084,0.373826695,911,59770,42916,45534,0.418258254,0.16272243,0.064509115,0.288116551,24.11067194,0.008335447,1.1,47,33,0.01851919,0.014895082,0.047222122,0.102344798,0.002138223,0.01043743,0.000978509,0.003479143,0.002065741,0.003841554,0.001195955,7.24822E-05,0.000108723,0.028014351
Rustic,28,9941,0.981289609,0.396841364,0.000211246,0.412433357,0.051302686,0.037722563,0.374207826,0.237903631,0.080474801,0.28669148,0.367669249,740,59004,41187,43976,0.016396741,0.134795292,0.105623177,0.299768635,13.08411215,0.014586058,1.34,16.55,5,0.129966804,0.115179559,0.181671864,0.243134494,0.001005935,0.004627301,0.000502968,0.001508903,0.000603561,0.000804748,0.000301781,0,0,0.010461724
Maple Leaf,29,10111,0.975670062,0.550390664,0.000247255,0.508851746,0.093957076,0.041044407,0.318465038,0.252200574,0.156265453,0.355058847,0.35159727,936,68718,52174,57721,0.01404411,0.087033923,0.049451093,0.175056869,9,0.008901197,0.86,14.42,3,0.017307883,0.007912175,0,0,0.000197804,0.00316487,9.89022E-05,0.001681337,0.000395609,0.001384631,0,0,9.89022E-05,0.005835229
Brookhaven-Amesbury,30,17757,0.997071577,0.342118601,0.000197105,0.512755533,0.083065833,0.051528974,0.295094892,0.215408008,0.108126373,0.333671228,0.359858084,893,60364,43512,47040,0.066283719,0.1306527,0.084473729,0.269189615,13.61502347,0.007884215,0.81,43.1,40,0.04781213,0.027707383,0.036661598,0.186011151,0.000844737,0.00512474,0.000506842,0.00174579,0.001407895,0.001633159,0.000168947,0,5.63158E-05,0.009517373
Yorkdale-Glen Park,31,14804,0.947716833,0.519791948,0.000398541,0.489394758,0.057754661,0.0391786,0.325925426,0.245541745,0.162456093,0.35395839,0.35395839,916,70539,49803,54093,0.510402594,0.099297487,0.062820859,0.192515536,19.26605505,0.010132397,1.35,21.66,5,0.044379897,0.024925696,0.001283437,0.098757093,0.001621183,0.009389354,0.00101324,0.004323156,0.001283437,0.002769522,0.001553634,6.75493E-05,0,0.019454202
Englemount-Lawrence,32,22372,0.978008225,0.582424459,0.000160915,0.480958341,0.091632398,0.042687288,0.282942964,0.105712498,0.262828536,0.450563204,0.363624173,904,86616,45087,49762,0.05949401,0.110405864,0.056767388,0.239585196,24.64788732,0.01899696,1.11,43.98,7,0.094046129,0.076032541,0.178303236,0.154970499,0.000178795,0.004961559,0.000178795,0.002637225,0.001877347,0.000983372,0.000312891,0,0,0.011129984
Clanton Park,33,16472,0.996843128,0.614072365,0.000254978,0.563076736,0.081653715,0.034300631,0.26590578,0.113222438,0.321151044,0.526347742,0.336328315,938,89550,54498,61094,0.07011899,0.085599806,0.039460903,0.15541525,9.734513274,0.010927635,0.84,19.35,6,0.034543468,0.019912579,0,0.024951433,0.000182127,0.003460418,0.000607091,0.002489072,0.000424964,0.002974745,0.000303545,6.07091E-05,6.07091E-05,0.010806217
Bathurst Manor,34,15873,0.981540982,0.64039564,0.0003024,0.543060543,0.093870094,0.039060039,0.292320292,0.154350154,0.313740314,0.516600517,0.379260379,1015,76914,51076,56563,0.055503056,0.090720091,0.040950041,0.165060165,14.03508772,0.02047502,0.94,18.8,3,0.018963019,0.018963019,0,0.051345051,0,0.003528004,0.000126,0.002142002,0.000504001,0.001512002,0.000252,0,0,0.00963901
Westminster-Branson,35,26274,0.994138692,0.54845094,0.000140824,0.534939484,0.168607749,0.049097968,0.32960341,0.097054122,0.322942833,0.549212149,0.384220142,1095,62791,42465,45888,0.024815407,0.13321154,0.050620385,0.248915277,16.47727273,0.021884753,1.17,24.63,9,0.036766385,0.024587044,0.231064931,0.1090051,0.000190302,0.004110528,0.000266423,0.000723148,0.000342544,0.000913451,0.000228363,0,7.61209E-05,0.009058385
